Class Name,Instance Side Definition,Class Side Definition
AColorSelectorMorph,"BracketSliderMorph subclass: #AColorSelectorMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-ColorPicker'","AColorSelectorMorph class 	instanceVariableNames: ''"
ASTCache,"WeakIdentityKeyDictionary subclass: #ASTCache 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Parser'","ASTCache class 	instanceVariableNames: 'default'"
ASTCacheReset,"Announcement subclass: #ASTCacheReset 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Parser'","ASTCacheReset class 	instanceVariableNames: ''"
ASTCacheResetTest,"TestCase subclass: #ASTCacheResetTest 	instanceVariableNames: 'cache counter link node' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Tests'","ASTCacheResetTest class 	instanceVariableNames: ''"
ASTEvaluationTest,"TestCase subclass: #ASTEvaluationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Tests-Core'","ASTEvaluationTest class 	instanceVariableNames: ''"
ASTPluginMeaningOfLife,"OCCompilerASTPlugin subclass: #ASTPluginMeaningOfLife 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-Plugins'","ASTPluginMeaningOfLife class 	instanceVariableNames: ''"
ASTTransformExamplePluginActive,"Object subclass: #ASTTransformExamplePluginActive 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-Plugins'","ASTTransformExamplePluginActive class 	instanceVariableNames: ''"
ASTTransformationPluginTest,"TestCase subclass: #ASTTransformationPluginTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-Plugins'","ASTTransformationPluginTest class 	instanceVariableNames: ''"
ATraitedClass,"Object subclass: #ATraitedClass 	instanceVariableNames: 'somethingElse something' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TraitsV2-Tests-Classes'","ATraitedClass class 	instanceVariableNames: 'myMethodDict composition'"
Abort,"Exception subclass: #Abort 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","Abort class 	instanceVariableNames: ''"
AboutDialogWindow,"LongMessageDialogWindow subclass: #AboutDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","AboutDialogWindow class 	instanceVariableNames: ''"
AbsolutePath,"Path variableSubclass: #AbsolutePath 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Path-Base'","AbsolutePath class 	instanceVariableNames: ''"
AbsolutePathStoredSetting,"StoredSetting subclass: #AbsolutePathStoredSetting 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core-Persistence-Ston-StoredSettings'","AbsolutePathStoredSetting class 	instanceVariableNames: ''"
AbstractAdapter,"Model subclass: #AbstractAdapter 	instanceVariableNames: 'model widget selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Base'","AbstractAdapter class 	instanceVariableNames: ''"
AbstractBinaryFileStream,"Stream subclass: #AbstractBinaryFileStream 	instanceVariableNames: 'file handle forWrite' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Files-Streams'","AbstractBinaryFileStream class 	instanceVariableNames: ''"
AbstractCache,"Object subclass: #AbstractCache 	instanceVariableNames: 'factory statistics weight access' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Caching'","AbstractCache class 	instanceVariableNames: ''"
AbstractCompiler,"Object subclass: #AbstractCompiler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-FrontEnd'","AbstractCompiler class 	instanceVariableNames: ''"
AbstractDelayTicker,"Object subclass: #AbstractDelayTicker 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Delays'","AbstractDelayTicker class 	instanceVariableNames: ''"
AbstractEnumerationVisitor,"FileSystemVisitor subclass: #AbstractEnumerationVisitor 	instanceVariableNames: 'out block' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Base-Visitors'","AbstractEnumerationVisitor class 	instanceVariableNames: ''"
AbstractEnumerationVisitorTest,"SingleTreeTest subclass: #AbstractEnumerationVisitorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core-Visitors'","AbstractEnumerationVisitorTest class 	instanceVariableNames: ''"
AbstractEyeElement,"Model subclass: #AbstractEyeElement 	uses: TInspectorActions 	instanceVariableNames: 'host' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Inspector-Element'","AbstractEyeElement class 	uses: TInspectorActions classTrait 	instanceVariableNames: ''"
AbstractFileReference,"Object subclass: #AbstractFileReference 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Public'","AbstractFileReference class 	instanceVariableNames: ''"
AbstractFont,"Object subclass: #AbstractFont 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fonts-Abstract'","AbstractFont class 	instanceVariableNames: ''"
AbstractFontSelectorDialogWindow,"DialogWindow subclass: #AbstractFontSelectorDialogWindow 	instanceVariableNames: 'fontFamilies selectedFont textPreviewMorph fontFamilyIndex fontSizeIndex isBold isItalic isUnderlined isStruckOut previewText' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fonts-Chooser'","AbstractFontSelectorDialogWindow class 	instanceVariableNames: ''"
AbstractFontStoredSetting,"AbstractStoredSetting subclass: #AbstractFontStoredSetting 	instanceVariableNames: 'fontClassName familyName pointSize emphasized' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core-Persistence-Ston-StoredSettings'","AbstractFontStoredSetting class 	instanceVariableNames: ''"
AbstractFormButtonModel,"AbstractFormButtonPresenter subclass: #AbstractFormButtonModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Deprecated-Obsolete'","AbstractFormButtonModel class 	instanceVariableNames: ''"
AbstractFormButtonPresenter,"AbstractWidgetPresenter subclass: #AbstractFormButtonPresenter 	instanceVariableNames: 'actionWhenActivatedHolder stateHolder labelClickableHolder labelHolder actionWhenDeactivatedHolder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Widgets-Support'","AbstractFormButtonPresenter class 	instanceVariableNames: ''"
AbstractKeymappingTest,"TestCase subclass: #AbstractKeymappingTest 	instanceVariableNames: 'default' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Tests'","AbstractKeymappingTest class 	instanceVariableNames: ''"
AbstractLayout,"Object subclass: #AbstractLayout 	instanceVariableNames: 'host' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Core-Layout'","AbstractLayout class 	instanceVariableNames: ''"
AbstractMethodConverter,"Object subclass: #AbstractMethodConverter 	instanceVariableNames: 'method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Base-Converter'","AbstractMethodConverter class 	instanceVariableNames: ''"
AbstractMethodReferenceConverter,"AbstractMethodConverter subclass: #AbstractMethodReferenceConverter 	instanceVariableNames: 'referencesList' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Base-Converter'","AbstractMethodReferenceConverter class 	instanceVariableNames: ''"
AbstractMorphicAdapter,"AbstractAdapter subclass: #AbstractMorphicAdapter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters-Base'","AbstractMorphicAdapter class 	instanceVariableNames: ''"
AbstractMorphicUITest,"TestCase subclass: #AbstractMorphicUITest 	instanceVariableNames: 'uiWaitingSemaphore' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Morphic'","AbstractMorphicUITest class 	instanceVariableNames: ''"
AbstractObjectsAsMethod,"Object subclass: #AbstractObjectsAsMethod 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-ObjectsAsMethods'","AbstractObjectsAsMethod class 	instanceVariableNames: ''"
AbstractResizerMorph,"Morph subclass: #AbstractResizerMorph 	instanceVariableNames: 'dotColor handleColor lastMouse' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Windows-Resizing'","AbstractResizerMorph class 	instanceVariableNames: ''"
AbstractSessionHandler,"Object subclass: #AbstractSessionHandler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-SessionManager-Handlers'","AbstractSessionHandler class 	instanceVariableNames: ''"
AbstractSpecLayoutAction,"Object subclass: #AbstractSpecLayoutAction 	instanceVariableNames: 'arguments selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Layout-Actions'","AbstractSpecLayoutAction class 	instanceVariableNames: ''"
AbstractStoredSetting,"Object subclass: #AbstractStoredSetting 	instanceVariableNames: 'settingNodeIdentifier' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core-Persistence-Ston-StoredSettings'","AbstractStoredSetting class 	instanceVariableNames: ''"
AbstractStoredSettingTest,"TestCase subclass: #AbstractStoredSettingTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Tests'","AbstractStoredSettingTest class 	instanceVariableNames: ''"
AbstractTimeZone,"Object subclass: #AbstractTimeZone 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'ChronologyConstants' 	category: 'Kernel-Chronology'","AbstractTimeZone class 	instanceVariableNames: ''"
AbstractTool,"Model subclass: #AbstractTool 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Base-Utilities'","AbstractTool class 	instanceVariableNames: ''"
AbstractTreeFilter,"Object subclass: #AbstractTreeFilter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Widgets-Support'","AbstractTreeFilter class 	instanceVariableNames: ''"
AbstractTutorial,"Object subclass: #AbstractTutorial 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Core'","AbstractTutorial class 	instanceVariableNames: ''"
AbstractTutorialTest,"TestCase subclass: #AbstractTutorialTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Tests-Tests'","AbstractTutorialTest class 	instanceVariableNames: ''"
AbstractTwoButtons,"ComposablePresenter subclass: #AbstractTwoButtons 	instanceVariableNames: 'firstButton secondButton' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-PolyWidgets-Support'","AbstractTwoButtons class 	instanceVariableNames: ''"
AbstractTwoButtonsTest,"SpecTestCase subclass: #AbstractTwoButtonsTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tests-PolyWidgets-Support'","AbstractTwoButtonsTest class 	instanceVariableNames: ''"
AbstractWidgetModel,"AbstractWidgetPresenter subclass: #AbstractWidgetModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Deprecated-Obsolete'","AbstractWidgetModel class 	instanceVariableNames: ''"
AbstractWidgetPresenter,"ComposablePresenter subclass: #AbstractWidgetPresenter 	instanceVariableNames: 'helpHolder borderWidth borderColor enabledHolder dragEnabled dropEnabled dragTransformationBlock wantDropBlock acceptDropBlock transferBlock color' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core-Widgets'","AbstractWidgetPresenter class 	instanceVariableNames: ''"
AccessorInstanceVariableSlot,"InstanceVariableSlot subclass: #AccessorInstanceVariableSlot 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Examples-base'","AccessorInstanceVariableSlot class 	instanceVariableNames: ''"
ActiveClassAnnotationsTests,"ClassAnnotationTestCase subclass: #ActiveClassAnnotationsTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ClassAnnotation-Tests'","ActiveClassAnnotationsTests class 	instanceVariableNames: ''"
ActiveMetaContext,"ProcessLocalVariable subclass: #ActiveMetaContext 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Contexts'","ActiveMetaContext class 	instanceVariableNames: ''"
AdditionalBinding,"LiteralVariable subclass: #AdditionalBinding 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Core-Variables'","AdditionalBinding class 	instanceVariableNames: ''"
AdditionalMethodState,"Object variableSubclass: #AdditionalMethodState 	instanceVariableNames: 'method selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Methods'","AdditionalMethodState class 	instanceVariableNames: ''"
AdditionalMethodStateTest,"TestCase subclass: #AdditionalMethodStateTest 	instanceVariableNames: 'amState' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Extended-Methods'","AdditionalMethodStateTest class 	instanceVariableNames: ''"
Adler32,"Checksum subclass: #Adler32 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Hashing-Checksums'","Adler32 class 	instanceVariableNames: ''"
AdvancedHelpBrowserDummy,"Object subclass: #AdvancedHelpBrowserDummy 	instanceVariableNames: 'rootTopic isOpen' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Tests-Core-UI'","AdvancedHelpBrowserDummy class 	instanceVariableNames: ''"
AlertDialogWindow,"MessageDialogWindow subclass: #AlertDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","AlertDialogWindow class 	instanceVariableNames: ''"
Alien,"ByteArray variableByteSubclass: #Alien 	instanceVariableNames: '' 	classVariableNames: 'GCMallocedAliens LoadedLibraries ProcessIoEvents WordSize' 	poolDictionaries: '' 	category: 'Alien-Core'","Alien class 	instanceVariableNames: 'lifoCallbackSemaphore'"
AlienWeakTable,"Object subclass: #AlienWeakTable 	instanceVariableNames: 'accessProtect firstUnusedIndex lastUsedIndex weakArray strongArray owner' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Alien-Core'","AlienWeakTable class 	instanceVariableNames: ''"
AlignmentMorph,"BorderedMorph subclass: #AlignmentMorph 	uses: TAbleToRotate 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Base-Basic'","AlignmentMorph class 	uses: TAbleToRotate classTrait 	instanceVariableNames: ''"
AllInstVarsEyeElement,"SelfEyeElement subclass: #AllInstVarsEyeElement 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Inspector-Element'","AllInstVarsEyeElement class 	instanceVariableNames: ''"
AllProtocol,"Protocol subclass: #AllProtocol 	instanceVariableNames: 'protocolOrganizer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Protocols'","AllProtocol class 	instanceVariableNames: ''"
AllocationTest,"TestCase subclass: #AllocationTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Exception'","AllocationTest class 	instanceVariableNames: ''"
