Class Name,Instance Side Definition,Class Side Definition
AlphaBlendingCanvas,"ColorMappingCanvas subclass: #AlphaBlendingCanvas 	instanceVariableNames: 'alpha' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Graphics-Canvas'","AlphaBlendingCanvas class 	instanceVariableNames: ''"
AlphaImageMorph,"ImageMorph subclass: #AlphaImageMorph 	instanceVariableNames: 'alpha cachedForm layout scale enabled autoSize getImageSelector model' 	classVariableNames: 'DefaultImage' 	poolDictionaries: '' 	category: 'Morphic-Base-Basic'","AlphaImageMorph class 	instanceVariableNames: ''"
AlphaInfiniteForm,"InfiniteForm subclass: #AlphaInfiniteForm 	instanceVariableNames: 'origin extent' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Graphics-Display Objects-Forms'","AlphaInfiniteForm class 	instanceVariableNames: ''"
AndreasSystemProfiler,"Object subclass: #AndreasSystemProfiler 	instanceVariableNames: 'semaphore ticks profilerProcess tallyRoot vmStats totalTally totalTime startTime ticksPerMSec totalTicks' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Profilers-System'","AndreasSystemProfiler class 	instanceVariableNames: ''"
AndreasSystemProfilerTest,"TestCase subclass: #AndreasSystemProfilerTest 	instanceVariableNames: 'tally' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Test-Profilers'","AndreasSystemProfilerTest class 	instanceVariableNames: ''"
AnimatedImageFrame,"Object subclass: #AnimatedImageFrame 	instanceVariableNames: 'form delay disposal offset' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Images-Animated'","AnimatedImageFrame class 	instanceVariableNames: ''"
AnimatedImageMorph,"Morph subclass: #AnimatedImageMorph 	instanceVariableNames: 'frames frameStream currentFrame activeForm prevFrame currentDisposal' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Images-Animated'","AnimatedImageMorph class 	instanceVariableNames: ''"
AnimationSettings,"Model subclass: #AnimationSettings 	instanceVariableNames: 'useAnimation animateClosing delay numberOfSteps' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Themes'","AnimationSettings class 	instanceVariableNames: ''"
AnnotationContext,"Object subclass: #AnnotationContext 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ClassAnnotation'","AnnotationContext class 	instanceVariableNames: ''"
AnnotationUserExample,"BaseAnnotationUserExample subclass: #AnnotationUserExample 	instanceVariableNames: 'isSimulatedActiveAnnotation' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ClassAnnotation-Tests-Examples-Annotation contexts'","AnnotationUserExample class 	instanceVariableNames: ''"
Announcement,"Object subclass: #Announcement 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core-Base'","Announcement class 	instanceVariableNames: ''"
AnnouncementDeliveryCondition,"Object subclass: #AnnouncementDeliveryCondition 	instanceVariableNames: 'announcementClass conditionBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core-Conditions'","AnnouncementDeliveryCondition class 	instanceVariableNames: ''"
AnnouncementLogger,"Object subclass: #AnnouncementLogger 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements-Logging'","AnnouncementLogger class 	instanceVariableNames: ''"
AnnouncementMockA,"Announcement subclass: #AnnouncementMockA 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Tests-Core-Mocks'","AnnouncementMockA class 	instanceVariableNames: ''"
AnnouncementMockB,"Announcement subclass: #AnnouncementMockB 	instanceVariableNames: 'parameter' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Tests-Core-Mocks'","AnnouncementMockB class 	instanceVariableNames: ''"
AnnouncementMockC,"AnnouncementMockB subclass: #AnnouncementMockC 	instanceVariableNames: 'announcingCounter' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Tests-Core-Mocks'","AnnouncementMockC class 	instanceVariableNames: ''"
AnnouncementSet,"Set subclass: #AnnouncementSet 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core-Collections'","AnnouncementSet class 	instanceVariableNames: ''"
AnnouncementSetTest,"TestCase subclass: #AnnouncementSetTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Tests-Core-Tests'","AnnouncementSetTest class 	instanceVariableNames: ''"
AnnouncementSetWithExclusions,"AnnouncementSet subclass: #AnnouncementSetWithExclusions 	instanceVariableNames: 'exclusions' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core-Collections'","AnnouncementSetWithExclusions class 	instanceVariableNames: ''"
AnnouncementSubscription,"Object subclass: #AnnouncementSubscription 	instanceVariableNames: 'announcer announcementClass subscriber action' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core-Subscription'","AnnouncementSubscription class 	instanceVariableNames: ''"
AnnouncementsAPIDocumentation,"AnnouncementsHelp subclass: #AnnouncementsAPIDocumentation 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Help'","AnnouncementsAPIDocumentation class 	instanceVariableNames: ''"
AnnouncementsHelp,"CustomHelp subclass: #AnnouncementsHelp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Help'","AnnouncementsHelp class 	instanceVariableNames: ''"
AnnouncementsTutorial,"AnnouncementsHelp subclass: #AnnouncementsTutorial 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Help'","AnnouncementsTutorial class 	instanceVariableNames: ''"
Announcer,"Object subclass: #Announcer 	instanceVariableNames: 'registry' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core-Base'","Announcer class 	instanceVariableNames: ''"
AnnouncerTest,"TestCase subclass: #AnnouncerTest 	instanceVariableNames: 'announcer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Tests-Core-Tests'","AnnouncerTest class 	instanceVariableNames: ''"
ApplicationWithToolbar,"ComposablePresenter subclass: #ApplicationWithToolbar 	instanceVariableNames: 'menu text' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Examples-Standalone'","ApplicationWithToolbar class 	instanceVariableNames: ''"
ApplicationWithToolbarTest,"SpecTestCase subclass: #ApplicationWithToolbarTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tests-Examples'","ApplicationWithToolbarTest class 	instanceVariableNames: ''"
ArchitecturalCritique,"ReTrivialCritique subclass: #ArchitecturalCritique 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Rules'","ArchitecturalCritique class 	instanceVariableNames: ''"
Archive,"Object subclass: #Archive 	instanceVariableNames: 'members' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compression-Archives'","Archive class 	instanceVariableNames: ''"
ArchiveMember,"Object subclass: #ArchiveMember 	instanceVariableNames: 'fileName isCorrupt' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compression-Archives'","ArchiveMember class 	instanceVariableNames: ''"
ArgumentNamesTest,"TestCase subclass: #ArgumentNamesTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Test-Debugger'","ArgumentNamesTest class 	instanceVariableNames: ''"
ArithmeticError,"Error subclass: #ArithmeticError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","ArithmeticError class 	instanceVariableNames: ''"
Array,"ArrayedCollection variableSubclass: #Array 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Sequenceable-Base'","Array class 	instanceVariableNames: ''"
Array2D,"Collection subclass: #Array2D 	instanceVariableNames: 'contents numberOfColumns numberOfRows' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Sequenceable-Ordered'","Array2D class 	instanceVariableNames: ''"
Array2DTest,"TestCase subclass: #Array2DTest 	instanceVariableNames: 'matrix1 matrix2 matrix3 matrix23' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Sequenceable'","Array2DTest class 	instanceVariableNames: ''"
ArrayTest,"CollectionRootTest subclass: #ArrayTest 	uses: TEmptySequenceableTest + TSequencedElementAccessTest + TCloneTest + TIncludesWithIdentityCheckTest + TCopyTest + TCreationWithTest + TPutBasicTest + (TConvertTest - {}) + TOccurrencesForMultiplinessTest + TIterateSequencedReadableTest + TSequencedConcatenationTest + TReplacementSequencedTest + TAsStringCommaAndDelimiterSequenceableTest + TBeginsEndsWith + TPrintOnSequencedTest + TIndexAccess + TSubCollectionAccess + TConvertAsSetForMultiplinessIdentityTest + TCopyPartOfSequenceable + TCopySequenceableSameContents + TCopySequenceableWithOrWithoutSpecificElements + TCopySequenceableWithReplacement + TIndexAccessForMultipliness + TCopyPartOfSequenceableForMultipliness + TConvertAsSortedTest + TPutTest + TSequencedStructuralEqualityTest + TSortTest + TSetArithmetic + TEnumeratingTest 	instanceVariableNames: 'example1 literalArray selfEvaluatingArray otherArray nonSEArray1 nonSEarray2 example2 empty collectResult withoutEqualElements withEqualElements withCharacters unsortedCollection sortedInAscendingOrderCollection sizeCollection collectionNotIncluded removedCollection elementInForCopy elementNotInForCopy firstIndex secondIndex replacementCollection indexArray valueArray nonEmptyMoreThan1Element subCollectionNotIn replacementCollectionSameSize oldSubCollection nonEmpty1Element collectionOfCollection collectionOfFloatWithEqualElements collectionWithoutNil duplicateElement collection5Elements collectionWith4Elements collectionOfCollectionsOfStrings collectionOfCollectionsOfInts simpleCollection stringCollectionWithSameBeginingAnEnd collectionOfFloat' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Tests-Arrayed'","ArrayTest class 	uses: TEmptySequenceableTest classTrait + TSequencedElementAccessTest classTrait + TCloneTest classTrait + TIncludesWithIdentityCheckTest classTrait + TCopyTest classTrait + TCreationWithTest classTrait + TPutBasicTest classTrait + TConvertTest classTrait + TOccurrencesForMultiplinessTest classTrait + TIterateSequencedReadableTest classTrait + TSequencedConcatenationTest classTrait + TReplacementSequencedTest classTrait + TAsStringCommaAndDelimiterSequenceableTest classTrait + TBeginsEndsWith classTrait + TPrintOnSequencedTest classTrait + TIndexAccess classTrait + TSubCollectionAccess classTrait + TConvertAsSetForMultiplinessIdentityTest classTrait + TCopyPartOfSequenceable classTrait + TCopySequenceableSameContents classTrait + TCopySequenceableWithOrWithoutSpecificElements classTrait + TCopySequenceableWithReplacement classTrait + TIndexAccessForMultipliness classTrait + TCopyPartOfSequenceableForMultipliness classTrait + TConvertAsSortedTest classTrait + TPutTest classTrait + TSequencedStructuralEqualityTest classTrait + TSortTest classTrait + TSetArithmetic classTrait + TEnumeratingTest classTrait 	instanceVariableNames: ''"
ArrayedCollection,"SequenceableCollection subclass: #ArrayedCollection 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Abstract-Base'","ArrayedCollection class 	instanceVariableNames: ''"
AsClassRule,"ReNodeRewriteRule subclass: #AsClassRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Support-Rules'","AsClassRule class 	instanceVariableNames: ''"
AsciiCharset,"Object subclass: #AsciiCharset 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-BasicObjects'","AsciiCharset class 	instanceVariableNames: ''"
AsciiCharsetTest,"TestCase subclass: #AsciiCharsetTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Extended-Charset'","AsciiCharsetTest class 	instanceVariableNames: ''"
AssemblyManifest,"Object subclass: #AssemblyManifest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Manifest'","AssemblyManifest class 	instanceVariableNames: ''"
AssertEqualSignIntoAssertEquals,"ReNodeRewriteRule subclass: #AssertEqualSignIntoAssertEquals 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Rules'","AssertEqualSignIntoAssertEquals class 	instanceVariableNames: ''"
AssertionFailure,"Error subclass: #AssertionFailure 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","AssertionFailure class 	instanceVariableNames: ''"
