Class Name,Instance Side Definition,Class Side Definition
KoreanEnvironment,"LanguageEnvironment subclass: #KoreanEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-OtherLanguages'","KoreanEnvironment class 	instanceVariableNames: ''"
ManifestRenraku,"PackageManifest subclass: #ManifestRenraku 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Renraku-Manifest'","ManifestRenraku class 	instanceVariableNames: ''"
ManifestSystemBasicCommandLineHandler,"PackageManifest subclass: #ManifestSystemBasicCommandLineHandler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-BasicCommandLineHandler'","ManifestSystemBasicCommandLineHandler class 	instanceVariableNames: ''"
ZnCharacterStreamTests,"TestCase subclass: #ZnCharacterStreamTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Tests'","ZnCharacterStreamTests class 	instanceVariableNames: ''"
GLMPagerPreviewUpdate,"Announcement subclass: #GLMPagerPreviewUpdate 	instanceVariableNames: 'pageIndex' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Pager-Announcement'","GLMPagerPreviewUpdate class 	instanceVariableNames: ''"
KomitStagingArea,"Object subclass: #KomitStagingArea 	instanceVariableNames: 'packages filterBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Komitter-Models'","KomitStagingArea class 	instanceVariableNames: 'current'"
IceLibgitTonelWriter,"MCWriter subclass: #IceLibgitTonelWriter 	uses: TIceRepositoryWriter 	instanceVariableNames: 'repositoryDirectory' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Libgit-Tonel'","IceLibgitTonelWriter class 	uses: TIceRepositoryWriter classTrait 	instanceVariableNames: ''"
PickOneSettingDeclaration,"MultipleSettingDeclaration subclass: #PickOneSettingDeclaration 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Core'","PickOneSettingDeclaration class 	instanceVariableNames: ''"
MetacelloMergeMemberSpec,"MetacelloMemberSpec subclass: #MetacelloMergeMemberSpec 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Members'","MetacelloMergeMemberSpec class 	instanceVariableNames: ''"
SDL_GameController,"SDL2Handle subclass: #SDL_GameController 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'SDL2Constants SDL2Types' 	category: 'OSWindow-SDL2-Bindings'","SDL_GameController class 	instanceVariableNames: ''"
TextIndent,"TextAttribute subclass: #TextIndent 	instanceVariableNames: 'amount' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Core'","TextIndent class 	instanceVariableNames: ''"
RBOrEnvironment,"RBBrowserEnvironmentWrapper subclass: #RBOrEnvironment 	instanceVariableNames: 'orEnvironment' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBOrEnvironment class 	instanceVariableNames: ''"
ZnBufferedWriteStreamTests,"TestCase subclass: #ZnBufferedWriteStreamTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Tests'","ZnBufferedWriteStreamTests class 	instanceVariableNames: ''"
AnnouncerTest,"TestCase subclass: #AnnouncerTest 	instanceVariableNames: 'announcer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Tests-Core-Tests'","AnnouncerTest class 	instanceVariableNames: ''"
MCAncestryTest,"MCTestCase subclass: #MCAncestryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Tests'","MCAncestryTest class 	instanceVariableNames: ''"
SlotBasicTest,"SlotSilentTest subclass: #SlotBasicTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Tests'","SlotBasicTest class 	instanceVariableNames: ''"
TxForeColorAttribute,"TxAttribute subclass: #TxForeColorAttribute 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TxText-Model'","TxForeColorAttribute class 	instanceVariableNames: ''"
GLMPrintSelection,"Announcement subclass: #GLMPrintSelection 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Presentations-Announcements'","GLMPrintSelection class 	instanceVariableNames: ''"
AthensTextComposer,"Object subclass: #AthensTextComposer 	instanceVariableNames: 'lines text' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Text'","AthensTextComposer class 	instanceVariableNames: ''"
AtomicCollection,"Object subclass: #AtomicCollection 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Atomic'","AtomicCollection class 	instanceVariableNames: ''"
DAPackageTreeModel,"ComposableModel subclass: #DAPackageTreeModel 	instanceVariableNames: 'tree packageTreeNautilus buttonRefresh packageTreeNautilusUI open' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-UI-Core'","DAPackageTreeModel class 	instanceVariableNames: ''"
GlamourPresentationModel,"ComposableModel subclass: #GlamourPresentationModel 	instanceVariableNames: 'presentation glmPres' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-SpecIntegration'","GlamourPresentationModel class 	instanceVariableNames: ''"
TaskListMorph,"Morph subclass: #TaskListMorph 	instanceVariableNames: 'tasks taskList preview' 	classVariableNames: 'KeepOpen' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Taskbar'","TaskListMorph class 	instanceVariableNames: ''"
CodeSimulationTests,"TestCase subclass: #CodeSimulationTests 	instanceVariableNames: '' 	classVariableNames: 'log' 	poolDictionaries: '' 	category: 'Kernel-Tests-Methods'","CodeSimulationTests class 	instanceVariableNames: ''"
GTSpotterCategorySelected,"GTSpotterAnnouncement subclass: #GTSpotterCategorySelected 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter-Announcements'","GTSpotterCategorySelected class 	instanceVariableNames: ''"
IRVisitorTest,"TestCase subclass: #IRVisitorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-IR'","IRVisitorTest class 	instanceVariableNames: ''"
FLPositive8SmallIntegerCluster,"FLSmallIntegerCluster subclass: #FLPositive8SmallIntegerCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters'","FLPositive8SmallIntegerCluster class 	instanceVariableNames: ''"
DiffMorph,"ComposableMorph subclass: #DiffMorph 	instanceVariableNames: 'prettyPrint contextClass srcMorph dstMorph scrollbarMorph mapMorph joinMorph difference joinMappings optionsPanel showOnlyDestination showOptions showOnlySource sourceTextModel destTextModel' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Diff'","DiffMorph class 	instanceVariableNames: ''"
MorphDeleted,"MorphAnnouncement subclass: #MorphDeleted 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Core-Announcements'","MorphDeleted class 	instanceVariableNames: ''"
Clipboard,"Object subclass: #Clipboard 	instanceVariableNames: 'contents recent' 	classVariableNames: 'Default' 	poolDictionaries: '' 	category: 'System-Clipboard'","Clipboard class 	instanceVariableNames: ''"
SpecDebugActionButton,"ButtonModel subclass: #SpecDebugActionButton 	instanceVariableNames: 'debugActionHolder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Debugger'","SpecDebugActionButton class 	instanceVariableNames: ''"
RBAddClassVariableRefactoring,"RBVariableRefactoring subclass: #RBAddClassVariableRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBAddClassVariableRefactoring class 	instanceVariableNames: ''"
MemoryFileSystemFile,"MemoryFileSystemEntry subclass: #MemoryFileSystemFile 	instanceVariableNames: 'bytes size' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Memory'","MemoryFileSystemFile class 	instanceVariableNames: ''"
FFISizeT,"FFIIntegerType subclass: #FFISizeT 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UnifiedFFI-Types'","FFISizeT class 	instanceVariableNames: ''"
SubscriptOutOfBounds,"Error subclass: #SubscriptOutOfBounds 	instanceVariableNames: 'subscript lowerBound upperBound' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","SubscriptOutOfBounds class 	instanceVariableNames: ''"
MetacelloScriptRegistryExecutor,"MetacelloScriptExecutor subclass: #MetacelloScriptRegistryExecutor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Scripts'","MetacelloScriptRegistryExecutor class 	instanceVariableNames: ''"
GLMTestAnnouncement2,"Announcement subclass: #GLMTestAnnouncement2 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Tests-Core'","GLMTestAnnouncement2 class 	instanceVariableNames: ''"
ZnMessage,"Object subclass: #ZnMessage 	instanceVariableNames: 'headers entity' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Core'","ZnMessage class 	instanceVariableNames: ''"
OSTouchScrollDetector,"OSTouchOneDirectionGestureDetector subclass: #OSTouchScrollDetector 	instanceVariableNames: 'directionAtBeginning persistentDirection' 	classVariableNames: 'PersistentDirection' 	poolDictionaries: '' 	category: 'OSWindow-Core-Gestures'","OSTouchScrollDetector class 	instanceVariableNames: ''"
MCGemstoneRepository,"MCHttpRepository subclass: #MCGemstoneRepository 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloRemoteRepositories'","MCGemstoneRepository class 	instanceVariableNames: ''"
GLMValidator,"GLMImplicitBrowser subclass: #GLMValidator 	instanceVariableNames: 'buttonActions specificAnnouncementActions' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Browsers-Other'","GLMValidator class 	instanceVariableNames: ''"
BooleanSlot,"Slot subclass: #BooleanSlot 	instanceVariableNames: 'baseSlot offset' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-Examples'","BooleanSlot class 	instanceVariableNames: ''"
SpecTreeColumn,"MorphTreeColumn subclass: #SpecTreeColumn 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters-Support'","SpecTreeColumn class 	instanceVariableNames: ''"
OCSlotVariable,"OCAbstractVariable subclass: #OCSlotVariable 	instanceVariableNames: 'slot' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-Semantics'","OCSlotVariable class 	instanceVariableNames: ''"
FinderExampleClassNode,"FinderClassNode subclass: #FinderExampleClassNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Finder'","FinderExampleClassNode class 	instanceVariableNames: ''"
ZnIncomplete,"ZnCharacterEncodingError subclass: #ZnIncomplete 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Core'","ZnIncomplete class 	instanceVariableNames: ''"
PackageWidget,"AbstractWidget subclass: #PackageWidget 	instanceVariableNames: 'packagesList packagesSelection groupsSelection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Widgets'","PackageWidget class 	instanceVariableNames: ''"
SHStyleElement,"Object subclass: #SHStyleElement 	instanceVariableNames: 'tokens color emphasis' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Shout-Styling'","SHStyleElement class 	instanceVariableNames: ''"
MetacelloMCBaselineOfProjectSpec,"MetacelloMCProjectSpec subclass: #MetacelloMCBaselineOfProjectSpec 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Specs'","MetacelloMCBaselineOfProjectSpec class 	instanceVariableNames: ''"
RBRefactoryVariableChange,"RBRefactoryClassChange subclass: #RBRefactoryVariableChange 	instanceVariableNames: 'variable' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRefactoryVariableChange class 	instanceVariableNames: ''"
RBCodeCruftLeftInMethodsRule,"RBTransformationRule subclass: #RBCodeCruftLeftInMethodsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-TransformationRules'","RBCodeCruftLeftInMethodsRule class 	instanceVariableNames: ''"
SharedRandom,"Random subclass: #SharedRandom 	instanceVariableNames: 'mutex' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Random-Core'","SharedRandom class 	instanceVariableNames: 'global'"
NECTypeInfo,"Object subclass: #NECTypeInfo 	instanceVariableNames: 'type kind temporaryOffset' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECTypeInfo class 	instanceVariableNames: ''"
Loader,"Object subclass: #Loader 	instanceVariableNames: '' 	classVariableNames: 'PackagesBeforeLastLoad' 	poolDictionaries: '' 	category: 'ScriptLoader60'","Loader class 	instanceVariableNames: ''"
ManifestSystemAnnouncements,"PackageManifest subclass: #ManifestSystemAnnouncements 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements'","ManifestSystemAnnouncements class 	instanceVariableNames: ''"
CategoryWidget,"AbstractWidget subclass: #CategoryWidget 	instanceVariableNames: 'categories categoriesList categoriesSelection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Widgets'","CategoryWidget class 	instanceVariableNames: ''"
FTFilterFunction,"FTFunctionWithField subclass: #FTFilterFunction 	instanceVariableNames: 'initialDataSource pattern isEditingSemaphore filterClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-FastTable-Functions'","FTFilterFunction class 	instanceVariableNames: ''"
ManifestGTSpotter,"PackageManifest subclass: #ManifestGTSpotter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter'","ManifestGTSpotter class 	instanceVariableNames: ''"
AthensCairoText,"Object subclass: #AthensCairoText 	uses: TCairoLibrary 	instanceVariableNames: 'text fontFamily fontSlant fontWeight fontSize' 	classVariableNames: '' 	poolDictionaries: 'AthensCairoDefs' 	category: 'Athens-Cairo-Text'","AthensCairoText class 	uses: TCairoLibrary classTrait 	instanceVariableNames: ''"
LayoutProperties,"Object subclass: #LayoutProperties 	instanceVariableNames: 'hResizing vResizing disableLayout' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Base-Layouts'","LayoutProperties class 	instanceVariableNames: ''"
FLDictionaryCollectionCluster,"FLAbstractCollectionCluster subclass: #FLDictionaryCollectionCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters-Optionals'","FLDictionaryCollectionCluster class 	instanceVariableNames: ''"
RBMethodNodeTest,"TestCase subclass: #RBMethodNodeTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Tests-Core'","RBMethodNodeTest class 	instanceVariableNames: ''"
DADependentPackageNode,"DAAbstractPackageNode subclass: #DADependentPackageNode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-UI-Nodes'","DADependentPackageNode class 	instanceVariableNames: ''"
OSTouchDoubleTapEvent,"OSTouchComplexEvent subclass: #OSTouchDoubleTapEvent 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Events-Touch'","OSTouchDoubleTapEvent class 	instanceVariableNames: ''"
RefactoringAborted,"Exception subclass: #RefactoringAborted 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusRefactoring'","RefactoringAborted class 	instanceVariableNames: ''"
VSCommitUnit,"Object subclass: #VSCommitUnit 	instanceVariableNames: 'configurationClass comment repository commitVersion commitStrategy projectActions packageActions' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Versionner-Commit'","VSCommitUnit class 	instanceVariableNames: ''"
NECContextTest,"TestCase subclass: #NECContextTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Tests'","NECContextTest class 	instanceVariableNames: ''"
KMCtrlModifier,"KMModifier subclass: #KMCtrlModifier 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-KeyCombinations'","KMCtrlModifier class 	instanceVariableNames: ''"
MBLoadConfigurationCommand,"MBDevCycleCommands subclass: #MBLoadConfigurationCommand 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Versionner-Core-Commands'","MBLoadConfigurationCommand class 	instanceVariableNames: ''"
RFASTTranslator,"OCASTTranslator subclass: #RFASTTranslator 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Compiler'","RFASTTranslator class 	instanceVariableNames: ''"
ZipFileSystemDirectory,"MemoryFileSystemDirectory subclass: #ZipFileSystemDirectory 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Zip'","ZipFileSystemDirectory class 	instanceVariableNames: ''"
RBMethodRefactoring,"RBRefactoring subclass: #RBMethodRefactoring 	instanceVariableNames: 'class' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBMethodRefactoring class 	instanceVariableNames: ''"
EqualityTester,"PrototypeTester subclass: #EqualityTester 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Core-Utilities'","EqualityTester class 	instanceVariableNames: ''"
ProvideAnswerNotification,"Notification subclass: #ProvideAnswerNotification 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UIManager-Support'","ProvideAnswerNotification class 	instanceVariableNames: ''"
TextAttribute,"Object subclass: #TextAttribute 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Core'","TextAttribute class 	instanceVariableNames: ''"
RePropertyAction,"Object subclass: #RePropertyAction 	instanceVariableNames: 'action icon description' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Renraku-Critiques'","RePropertyAction class 	instanceVariableNames: ''"
GTSpotterWidgetDarkThemer,"GTSpotterWidgetThemer subclass: #GTSpotterWidgetDarkThemer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter-Theme'","GTSpotterWidgetDarkThemer class 	instanceVariableNames: ''"
FFICalloutMethodBuilderTestContext,"Object subclass: #FFICalloutMethodBuilderTestContext 	instanceVariableNames: 'selector argumentNames methodClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'UnifiedFFI-Tests'","FFICalloutMethodBuilderTestContext class 	instanceVariableNames: ''"
RBExcessiveArgumentsRule,"RBBlockLintRule subclass: #RBExcessiveArgumentsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBExcessiveArgumentsRule class 	instanceVariableNames: ''"
OSTouchActionPointerEvent,"OSTouchActionEvent subclass: #OSTouchActionPointerEvent 	instanceVariableNames: 'position delta pressure fingerId' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Events-Touch'","OSTouchActionPointerEvent class 	instanceVariableNames: ''"
DAMessageSendAnalyzerTest,"TestCase subclass: #DAMessageSendAnalyzerTest 	instanceVariableNames: 'analyzer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-DependencyAnalyser-Test'","DAMessageSendAnalyzerTest class 	instanceVariableNames: ''"
IceLibgitTonelReader,"TonelReader subclass: #IceLibgitTonelReader 	uses: TIceRepositoryReader 	instanceVariableNames: 'iceVersion' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Libgit-Tonel'","IceLibgitTonelReader class 	uses: TIceRepositoryReader classTrait 	instanceVariableNames: ''"
IceSshCredentials,"Object subclass: #IceSshCredentials 	instanceVariableNames: 'username publicKey privateKey keyPassphrase' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Security'","IceSshCredentials class 	instanceVariableNames: ''"
ZnMultiPartFormDataEntity,"ZnEntity subclass: #ZnMultiPartFormDataEntity 	instanceVariableNames: 'parts representation' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Core'","ZnMultiPartFormDataEntity class 	instanceVariableNames: ''"
ExampleBuilderMorph,"MorphicModel subclass: #ExampleBuilderMorph 	uses: TEasilyThemed 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Examples-Widgets'","ExampleBuilderMorph class 	uses: TEasilyThemed classTrait 	instanceVariableNames: ''"
RBDeadBlockRule,"RBParseTreeLintRule subclass: #RBDeadBlockRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBDeadBlockRule class 	instanceVariableNames: ''"
UTF16TextConverter,"TextConverter subclass: #UTF16TextConverter 	instanceVariableNames: 'useLittleEndian useByteOrderMark byteOrderMarkDone' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-TextConversion'","UTF16TextConverter class 	instanceVariableNames: ''"
VTermTestRunner,"CommandLineTestRunner subclass: #VTermTestRunner 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-UI'","VTermTestRunner class 	instanceVariableNames: ''"
RBNotEnvironment,"RBBrowserEnvironmentWrapper subclass: #RBNotEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBNotEnvironment class 	instanceVariableNames: ''"
TickSelectionListMorph,"MorphTreeMorph subclass: #TickSelectionListMorph 	instanceVariableNames: 'storeValue' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-TickList'","TickSelectionListMorph class 	instanceVariableNames: ''"
GLMAnimation,"Object subclass: #GLMAnimation 	instanceVariableNames: 'asyncTask duration animationLogic startTime fromLogic fromValue toLogic toValue currentValue animatedObject stepLogic doStep shouldStop callback steppedLogic isCompleted ensureLogic stamp' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Async'","GLMAnimation class 	instanceVariableNames: ''"
LGitWritepackFreeCallout,"LGitCallout subclass: #LGitWritepackFreeCallout 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-FFI-Callouts'","LGitWritepackFreeCallout class 	instanceVariableNames: ''"
PharoShortcuts,"Object subclass: #PharoShortcuts 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tool-Base'","PharoShortcuts class 	instanceVariableNames: ''"
MalDominance,"MalGraphAlgorithm subclass: #MalDominance 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Moose-Algos-Graph'","MalDominance class 	instanceVariableNames: ''"
OSMouseButtonPressEvent,"OSMouseButtonEvent subclass: #OSMouseButtonPressEvent 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Events'","OSMouseButtonPressEvent class 	instanceVariableNames: ''"
GTSpotterShowPreview,"Announcement subclass: #GTSpotterShowPreview 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Spotter-Announcements'","GTSpotterShowPreview class 	instanceVariableNames: ''"
GTEventRegistry,"Object subclass: #GTEventRegistry 	instanceVariableNames: 'weakHolder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-EventRecorder-Support'","GTEventRegistry class 	instanceVariableNames: ''"
SubclassPoolUser,"RootClassPoolUser subclass: #SubclassPoolUser 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Classes'","SubclassPoolUser class 	instanceVariableNames: ''"
ManifestKomitter,"PackageManifest subclass: #ManifestKomitter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Komitter'","ManifestKomitter class 	instanceVariableNames: ''"
MorphicAdapterBindings,"SpecAdapterBindings subclass: #MorphicAdapterBindings 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters-Support'","MorphicAdapterBindings class 	instanceVariableNames: ''"
GLMBrick,"GLMBrickedMorph subclass: #GLMBrick 	uses: GLMBrickPropertiesTrait + GLMBrickLayoutTrait + GLMBrickStructureTrait + (GLMBrickGeometryTrait - {#privateBounds:}) 	instanceVariableNames: 'brickBounds brickApi' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Widgets-Core'","GLMBrick class 	uses: GLMBrickPropertiesTrait classTrait + GLMBrickLayoutTrait classTrait + GLMBrickStructureTrait classTrait + GLMBrickGeometryTrait classTrait 	instanceVariableNames: ''"
OCKeyedSet,"Set subclass: #OCKeyedSet 	instanceVariableNames: 'keyBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-Extras'","OCKeyedSet class 	instanceVariableNames: ''"
FBDOptimizedMessagesRewriter,"RBProgramNodeVisitor subclass: #FBDOptimizedMessagesRewriter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Flashback-Decompiler'","FBDOptimizedMessagesRewriter class 	instanceVariableNames: ''"
KMDispatchChainTest,"AbstractKeymappingTest subclass: #KMDispatchChainTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Tests'","KMDispatchChainTest class 	instanceVariableNames: ''"
ManifestRPackageCore,"PackageManifest subclass: #ManifestRPackageCore 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Core'","ManifestRPackageCore class 	instanceVariableNames: ''"
ReflectiveMethod,"Object variableSubclass: #ReflectiveMethod 	instanceVariableNames: 'ast class compiledMethod linkCount' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Core'","ReflectiveMethod class 	instanceVariableNames: ''"
RxParser,"Object subclass: #RxParser 	instanceVariableNames: 'input lookahead' 	classVariableNames: 'BackslashConstants BackslashSpecials' 	poolDictionaries: '' 	category: 'Regex-Core'","RxParser class 	instanceVariableNames: ''"
ManyTestResourceTestCase,"SimpleTestResourceTestCase subclass: #ManyTestResourceTestCase 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","ManyTestResourceTestCase class 	instanceVariableNames: ''"
RemovedField,"AbstractFieldModification subclass: #RemovedField 	instanceVariableNames: 'originalSlot' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-ClassBuilder'","RemovedField class 	instanceVariableNames: ''"
MCRepositoryAdded,"Announcement subclass: #MCRepositoryAdded 	instanceVariableNames: 'repository' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Announcements'","MCRepositoryAdded class 	instanceVariableNames: ''"
RBGuardingClauseRule,"RBParseTreeLintRule subclass: #RBGuardingClauseRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBGuardingClauseRule class 	instanceVariableNames: ''"
PlatformIndependentEnvironment,"OSEnvironment subclass: #PlatformIndependentEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-OSEnvironments'","PlatformIndependentEnvironment class 	instanceVariableNames: ''"
Watchpoint,"Object subclass: #Watchpoint 	instanceVariableNames: 'tagname node link values recording' 	classVariableNames: 'Watchpoints' 	poolDictionaries: '' 	category: 'Reflectivity-Tools-Watchpoints'","Watchpoint class 	instanceVariableNames: ''"
