Class Name,Instance Side Definition,Class Side Definition
MetacelloRepositorySpec,"MetacelloSpec subclass: #MetacelloRepositorySpec 	instanceVariableNames: 'description username password type' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Specs'","MetacelloRepositorySpec class 	instanceVariableNames: ''"
FloatArrayTest,"CollectionRootTest subclass: #FloatArrayTest 	uses: TCreationWithTest + TSequencedStructuralEqualityTest + TSequencedConcatenationTest + TSetArithmetic + TAsStringCommaAndDelimiterSequenceableTest + TPrintOnSequencedTest + TEmptyTest + TBeginsEndsWith + TCloneTest + TConvertTest - {#testAsByteArray. #integerCollectionWithoutEqualElements} + TConvertAsSortedTest + TConvertAsSetForMultiplinessIdentityTest - {#testAsIdentitySetWithEqualsElements. #testAsIdentitySetWithIdentityEqualsElements} + TCopyPartOfSequenceable + TCopyPartOfSequenceableForMultipliness + TCopySequenceableSameContents + TCopySequenceableWithOrWithoutSpecificElements + TCopySequenceableWithReplacement + TCopyTest + TIncludesWithIdentityCheckTest - {#testIdentityIncludesNonSpecificComportement} + TIndexAccess - {#testIdentityIndexOf. #testIdentityIndexOfIAbsent} + TIndexAccessForMultipliness - {#testIdentityIndexOfIAbsentDuplicate. #testIdentityIndexOfDuplicate} + TIterateSequencedReadableTest + TPutTest + TPutBasicTest + TReplacementSequencedTest + TSequencedElementAccessTest + TSortTest + TSubCollectionAccess 	instanceVariableNames: 'nonEmpty5ElementsNoDuplicate empty elementNotIn elementTwiceIn collectionWithEqualElements nonEmpty1Element collectionWithSameAtEndAndBegining collectionWith1TimeSubcollection collectionWith2TimeSubcollection collectionNotIncluded nonEmptySubcollection elementInNonEmpty replacementCollectionSameSize sortedCollection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Arrayed'","FloatArrayTest class 	uses: TCreationWithTest classTrait + TSequencedStructuralEqualityTest classTrait + TSequencedConcatenationTest classTrait + TSetArithmetic classTrait + TAsStringCommaAndDelimiterSequenceableTest classTrait + TPrintOnSequencedTest classTrait + TEmptyTest classTrait + TBeginsEndsWith classTrait + TCloneTest classTrait + TConvertTest classTrait + TConvertAsSortedTest classTrait + TConvertAsSetForMultiplinessIdentityTest classTrait + TCopyPartOfSequenceable classTrait + TCopyPartOfSequenceableForMultipliness classTrait + TCopySequenceableSameContents classTrait + TCopySequenceableWithOrWithoutSpecificElements classTrait + TCopySequenceableWithReplacement classTrait + TCopyTest classTrait + TIncludesWithIdentityCheckTest classTrait + TIndexAccess classTrait + TIndexAccessForMultipliness classTrait + TIterateSequencedReadableTest classTrait + TPutTest classTrait + TPutBasicTest classTrait + TReplacementSequencedTest classTrait + TSequencedElementAccessTest classTrait + TSortTest classTrait + TSubCollectionAccess classTrait 	instanceVariableNames: ''"
EntryCompletion,"Object subclass: #EntryCompletion 	instanceVariableNames: 'dataSourceBlock filterBlock chooseBlock chooser previousToken' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","EntryCompletion class 	instanceVariableNames: ''"
MetacelloMethodSpec,"Object subclass: #MetacelloMethodSpec 	instanceVariableNames: 'project selector category versionString methodSections' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Constructors'","MetacelloMethodSpec class 	instanceVariableNames: ''"
RBGeneratePrintStringRefactoring,"RBClassRefactoring subclass: #RBGeneratePrintStringRefactoring 	instanceVariableNames: 'variables' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusRefactoring-Refactorings'","RBGeneratePrintStringRefactoring class 	instanceVariableNames: ''"
RegexMatchingError,"RegexError subclass: #RegexMatchingError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core-Exceptions'","RegexMatchingError class 	instanceVariableNames: ''"
LargePositiveIntegerTest,"ClassTestCase subclass: #LargePositiveIntegerTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Numbers'","LargePositiveIntegerTest class 	instanceVariableNames: ''"
BlockClosure,"Object variableSubclass: #BlockClosure 	instanceVariableNames: 'outerContext startpc numArgs' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Methods'","BlockClosure class 	instanceVariableNames: ''"
ZipArchive,"Archive subclass: #ZipArchive 	instanceVariableNames: 'centralDirectorySize centralDirectoryOffsetWRTStartingDiskNumber zipFileComment writeCentralDirectoryOffset writeEOCDOffset' 	classVariableNames: '' 	poolDictionaries: 'ZipFileConstants' 	category: 'Compression-Archives'","ZipArchive class 	instanceVariableNames: ''"
NBFnSpec,"Object subclass: #NBFnSpec 	instanceVariableNames: 'returnType functionName arguments' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-FFI'","NBFnSpec class 	instanceVariableNames: ''"
NautilusMethodSelected,"Announcement subclass: #NautilusMethodSelected 	instanceVariableNames: 'method' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Announcements'","NautilusMethodSelected class 	instanceVariableNames: ''"
RBSourceRegexRefactoring,"RBRegexRefactoring subclass: #RBSourceRegexRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusRefactoring-Refactorings'","RBSourceRegexRefactoring class 	instanceVariableNames: ''"
LeafNode,"ParseNode subclass: #LeafNode 	instanceVariableNames: 'key code index' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-ParseNodes'","LeafNode class 	instanceVariableNames: ''"
ProtoObject,"ProtoObject subclass: #ProtoObject 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Objects'. ProtoObject superclass: nil","ProtoObject class 	instanceVariableNames: ''"
HelpTopic,"Object subclass: #HelpTopic 	instanceVariableNames: 'title key icon contents subtopics' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Core-Model'","HelpTopic class 	instanceVariableNames: ''"
FLCluster,"Object subclass: #FLCluster 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Clusters'","FLCluster class 	instanceVariableNames: ''"
NotYetImplemented,"SelectorException subclass: #NotYetImplemented 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","NotYetImplemented class 	instanceVariableNames: ''"
FLAnalyzer,"Object subclass: #FLAnalyzer 	instanceVariableNames: 'internalClasses pluggableSubstitutions globalMappersFactory analysisFactory generalMapperFactory globalSymbols internalMethods globalMappers globalEnvironment' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Core'","FLAnalyzer class 	instanceVariableNames: ''"
ClassTrait,"TraitDescription subclass: #ClassTrait 	uses: TApplyingOnClassSide 	instanceVariableNames: 'baseTrait' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Kernel'","ClassTrait class 	uses: TApplyingOnClassSide classTrait 	instanceVariableNames: ''"
RBMethodNode,"RBProgramNode subclass: #RBMethodNode 	instanceVariableNames: 'scope classBinding selector selectorParts body source arguments pragmas replacements nodeReplacements' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Nodes'","RBMethodNode class 	instanceVariableNames: ''"
DuplicatedVariableError,"Error subclass: #DuplicatedVariableError 	instanceVariableNames: 'superclass variable' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","DuplicatedVariableError class 	instanceVariableNames: ''"
RBUtilityMethodsRule,"RBBlockLintRule subclass: #RBUtilityMethodsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBUtilityMethodsRule class 	instanceVariableNames: ''"
NBTString,"NBExternalType subclass: #NBTString 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Win32'","NBTString class 	instanceVariableNames: ''"
NECGlobalEntry,"NECEntry subclass: #NECGlobalEntry 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-Model'","NECGlobalEntry class 	instanceVariableNames: ''"
MetacelloMCVersion,"MetacelloVersion subclass: #MetacelloMCVersion 	instanceVariableNames: 'loaderPolicy' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Model'","MetacelloMCVersion class 	instanceVariableNames: ''"
RBBlockLintRule,"RBBasicLintRule subclass: #RBBlockLintRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics'","RBBlockLintRule class 	instanceVariableNames: ''"
RBContextBinding,"RBSpecialBinding subclass: #RBContextBinding 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Semantic-Binding'","RBContextBinding class 	instanceVariableNames: ''"
RPackageRenamed,"RPackageAnnouncement subclass: #RPackageRenamed 	instanceVariableNames: 'oldName newName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Core'","RPackageRenamed class 	instanceVariableNames: ''"
RBAssignmentInBlockRule,"RBParseTreeLintRule subclass: #RBAssignmentInBlockRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBAssignmentInBlockRule class 	instanceVariableNames: ''"
NBExternalAddress,"NBExternalHandle variableByteSubclass: #NBExternalAddress 	uses: TNBMemoryAccessors @ {#byteAt:->#nbInt8AtOffset:. #byteAt:put:->#nbInt8AtOffset:put:. #longAt:->#nbInt32AtOffset:. #longAt:put:->#nbInt32AtOffset:put:. #ulongAt:->#nbUInt32AtOffset:. #ulongAt:put:->#nbUInt32AtOffset:put:} 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Objects'","NBExternalAddress class 	uses: TNBMemoryAccessors classTrait 	instanceVariableNames: ''"
RadioButtonGroup,"Object subclass: #RadioButtonGroup 	instanceVariableNames: 'buttons' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Widgets-Utilities'","RadioButtonGroup class 	instanceVariableNames: ''"
RBAddParameterRefactoring,"RBChangeMethodNameRefactoring subclass: #RBAddParameterRefactoring 	instanceVariableNames: 'initializer senders' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBAddParameterRefactoring class 	instanceVariableNames: ''"
DateTest,"ClassTestCase subclass: #DateTest 	uses: TDateTimeTest 	instanceVariableNames: 'aTime january23rd2004 june2nd1973' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Chronology'","DateTest class 	uses: TDateTimeTest classTrait 	instanceVariableNames: ''"
ZnRequestTests,"TestCase subclass: #ZnRequestTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnRequestTests class 	instanceVariableNames: ''"
DateAndTimeEpochTest,"TestCase subclass: #DateAndTimeEpochTest 	instanceVariableNames: 'aDateAndTime aDuration aTimeZone localTimeZoneToRestore' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Chronology'","DateAndTimeEpochTest class 	instanceVariableNames: ''"
ErrorWhileCreationException,"Exception subclass: #ErrorWhileCreationException 	instanceVariableNames: 'response' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CI-Core'","ErrorWhileCreationException class 	instanceVariableNames: ''"
WindowClosed,"WindowAnnouncement subclass: #WindowClosed 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-WindowNotification'","WindowClosed class 	instanceVariableNames: ''"
ExclusiveWeakMessageSend,"NonReentrantWeakMessageSend weakSubclass: #ExclusiveWeakMessageSend 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-EventEnhancements'","ExclusiveWeakMessageSend class 	instanceVariableNames: ''"
MCPackage,"Object subclass: #MCPackage 	instanceVariableNames: 'name' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Base'","MCPackage class 	instanceVariableNames: ''"
SmalllintManifestChecker,"RBSmalllintChecker subclass: #SmalllintManifestChecker 	instanceVariableNames: 'manifestClassCache' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Manifest-Core'","SmalllintManifestChecker class 	instanceVariableNames: ''"
RBSuperSendsRule,"RBTransformationRule subclass: #RBSuperSendsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-TransformationRules'","RBSuperSendsRule class 	instanceVariableNames: ''"
MCModification,"MCPatchOperation subclass: #MCModification 	instanceVariableNames: 'obsoletion modification' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Patching'","MCModification class 	instanceVariableNames: ''"
RGContainer,"RGAbstractContainer subclass: #RGContainer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Containers'","RGContainer class 	instanceVariableNames: ''"
SpecDialogWindow,"DialogWindow subclass: #SpecDialogWindow 	instanceVariableNames: 'specWidget toolbar' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core'","SpecDialogWindow class 	instanceVariableNames: ''"
FileSystemStore,"Object subclass: #FileSystemStore 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","FileSystemStore class 	instanceVariableNames: ''"
JoinSection,"Object subclass: #JoinSection 	instanceVariableNames: 'src dst borderWidth borderColor type width shape' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","JoinSection class 	instanceVariableNames: ''"
DropFilesEvent,"DropEvent subclass: #DropFilesEvent 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Events'","DropFilesEvent class 	instanceVariableNames: ''"
UnhandledError,"Exception subclass: #UnhandledError 	instanceVariableNames: 'exception' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","UnhandledError class 	instanceVariableNames: ''"
SubclassPoolUser,"RootClassPoolUser subclass: #SubclassPoolUser 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Classes'","SubclassPoolUser class 	instanceVariableNames: ''"
RBBlockReplaceRule,"RBReplaceRule subclass: #RBBlockReplaceRule 	instanceVariableNames: 'replaceBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Matching'","RBBlockReplaceRule class 	instanceVariableNames: ''"
TraitCompositionException,"TraitException subclass: #TraitCompositionException 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Traits-Composition'","TraitCompositionException class 	instanceVariableNames: ''"
NautilusPluginManager,"DialogWindow subclass: #NautilusPluginManager 	instanceVariableNames: 'pluginClassesSelectedIndex pluginClassesSelected pluginsSelected pluginsSelectedIndex pluginsList tree' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NautilusCommon-Plugin-Manager'","NautilusPluginManager class 	instanceVariableNames: ''"
ThreePhaseButtonMorph,"ImageMorph subclass: #ThreePhaseButtonMorph 	instanceVariableNames: 'offImage pressedImage state target actionSelector arguments actWhen' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","ThreePhaseButtonMorph class 	instanceVariableNames: ''"
TextSelectionColor,"TextAttribute subclass: #TextSelectionColor 	instanceVariableNames: 'colorBlock' 	classVariableNames: 'FindReplaceSelection PrimarySelection SecondarySelection' 	poolDictionaries: '' 	category: 'Text-Edition'","TextSelectionColor class 	instanceVariableNames: ''"
NBUInt8,"NBIntegerExternalType subclass: #NBUInt8 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Types'","NBUInt8 class 	instanceVariableNames: ''"
TextHighlightByBounds,"Object subclass: #TextHighlightByBounds 	instanceVariableNames: 'color lineRange bounds borderWidth borderColor borderSides fillWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TextHighlightByBounds class 	instanceVariableNames: ''"
SmalltalkEditor,"TextEditor subclass: #SmalltalkEditor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Text-Edition'","SmalltalkEditor class 	instanceVariableNames: ''"
TextMorphForFieldView,"TextMorphForEditView subclass: #TextMorphForFieldView 	instanceVariableNames: 'maxLength' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","TextMorphForFieldView class 	instanceVariableNames: ''"
RBMethodHasNoTimeStampRule,"RBBlockLintRule subclass: #RBMethodHasNoTimeStampRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBMethodHasNoTimeStampRule class 	instanceVariableNames: ''"
FLVersionTest,"FLSerializationTest subclass: #FLVersionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLVersionTest class 	instanceVariableNames: ''"
ZnDigestAuthenticator,"ZnBasicAuthenticator subclass: #ZnDigestAuthenticator 	instanceVariableNames: 'nonces' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Support'","ZnDigestAuthenticator class 	instanceVariableNames: ''"
WeakRegistryTest,"ClassTestCase subclass: #WeakRegistryTest 	instanceVariableNames: 'errorWasHere' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Weak'","WeakRegistryTest class 	instanceVariableNames: ''"
RPackageAnnouncement,"Announcement subclass: #RPackageAnnouncement 	instanceVariableNames: 'package' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Core'","RPackageAnnouncement class 	instanceVariableNames: ''"
SystemDictionaryTest,"DictionaryTest subclass: #SystemDictionaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-System'","SystemDictionaryTest class 	instanceVariableNames: ''"
NECMenuMorph,"Morph subclass: #NECMenuMorph 	instanceVariableNames: 'selected firstVisible titleStringMorph controller context pageHeight detailMorph detailPosition' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-View'","NECMenuMorph class 	instanceVariableNames: ''"
DependentsArrayTest,"TestCase subclass: #DependentsArrayTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Objects'","DependentsArrayTest class 	instanceVariableNames: ''"
DeleteVisitor,"FileSystemVisitor subclass: #DeleteVisitor 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","DeleteVisitor class 	instanceVariableNames: ''"
Object,"ProtoObject subclass: #Object 	instanceVariableNames: '' 	classVariableNames: 'DependentsFields' 	poolDictionaries: '' 	category: 'Kernel-Objects'","Object class 	instanceVariableNames: ''"
MCPackageCache,"Object subclass: #MCPackageCache 	instanceVariableNames: 'sorter fileNames' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Repositories'","MCPackageCache class 	instanceVariableNames: ''"
RBNoClassCommentRule,"RBBlockLintRule subclass: #RBNoClassCommentRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBNoClassCommentRule class 	instanceVariableNames: ''"
BasicBehaviorClassMetaclassTest,"TestCase subclass: #BasicBehaviorClassMetaclassTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Classes'","BasicBehaviorClassMetaclassTest class 	instanceVariableNames: ''"
KMPerInstanceTests,"AbstractKeymappingTest subclass: #KMPerInstanceTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Tests'","KMPerInstanceTests class 	instanceVariableNames: ''"
CharacterBlock,"Rectangle subclass: #CharacterBlock 	instanceVariableNames: 'stringIndex text textLine' 	classVariableNames: '' 	poolDictionaries: 'TextConstants' 	category: 'Text-Scanning'","CharacterBlock class 	instanceVariableNames: ''"
ProfStefTestGo,"TestCase subclass: #ProfStefTestGo 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ProfStef-Tests'","ProfStefTestGo class 	instanceVariableNames: ''"
FailingTestResourceTestCase,"SimpleTestResourceTestCase subclass: #FailingTestResourceTestCase 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","FailingTestResourceTestCase class 	instanceVariableNames: ''"
RBClass,"RBAbstractClass subclass: #RBClass 	instanceVariableNames: 'classVariableNames poolDictionaryNames category comment' 	classVariableNames: 'LookupComment' 	poolDictionaries: '' 	category: 'Refactoring-Core-Model'","RBClass class 	instanceVariableNames: ''"
TimeStampMethodConverter,"AbstractMethodConverter subclass: #TimeStampMethodConverter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-MethodConverters'","TimeStampMethodConverter class 	instanceVariableNames: ''"
SimpleEditor,"Editor subclass: #SimpleEditor 	instanceVariableNames: 'string pointIndex markIndex beginTypeInIndex' 	classVariableNames: 'CmdActions ShiftCmdActions' 	poolDictionaries: '' 	category: 'Text-Edition'","SimpleEditor class 	instanceVariableNames: ''"
RBPragmaEnvironment,"RBBrowserEnvironmentWrapper subclass: #RBPragmaEnvironment 	instanceVariableNames: 'keywords condition' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Environment'","RBPragmaEnvironment class 	instanceVariableNames: ''"
Duration,"Magnitude subclass: #Duration 	instanceVariableNames: 'nanos seconds' 	classVariableNames: '' 	poolDictionaries: 'ChronologyConstants' 	category: 'Kernel-Chronology'","Duration class 	instanceVariableNames: ''"
RBMacSpellChecker,"RBSpellChecker subclass: #RBMacSpellChecker 	instanceVariableNames: '' 	classVariableNames: 'Utf16Converter' 	poolDictionaries: '' 	category: 'Refactoring-Spelling'","RBMacSpellChecker class 	instanceVariableNames: ''"
SimpleGridExample,"MorphTreeModel subclass: #SimpleGridExample 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","SimpleGridExample class 	instanceVariableNames: ''"
BasicClassOrganizer,"Categorizer subclass: #BasicClassOrganizer 	instanceVariableNames: 'subject classComment commentStamp' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Classes'","BasicClassOrganizer class 	instanceVariableNames: ''"
RBRefactoring,"Object subclass: #RBRefactoring 	instanceVariableNames: 'model options' 	classVariableNames: 'RefactoringOptions' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBRefactoring class 	instanceVariableNames: ''"
RegexSyntaxError,"RegexError subclass: #RegexSyntaxError 	instanceVariableNames: 'position' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core-Exceptions'","RegexSyntaxError class 	instanceVariableNames: ''"
SimplestPaginatedClassListExample,"PaginatedMorphTreeModel subclass: #SimplestPaginatedClassListExample 	instanceVariableNames: 'rootClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","SimplestPaginatedClassListExample class 	instanceVariableNames: ''"
LargePositiveInteger,"Integer variableByteSubclass: #LargePositiveInteger 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Numbers'","LargePositiveInteger class 	instanceVariableNames: ''"
ZnTooManyDictionaryEntries,"Error subclass: #ZnTooManyDictionaryEntries 	instanceVariableNames: 'limit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Resource-Meta-Core'","ZnTooManyDictionaryEntries class 	instanceVariableNames: ''"
IdentitySet,"Set subclass: #IdentitySet 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Unordered'","IdentitySet class 	instanceVariableNames: ''"
NBFloat32,"NBFloatType subclass: #NBFloat32 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NativeBoost-Core-Types'","NBFloat32 class 	instanceVariableNames: ''"
ClassFactoryWithOrganizationTest,"TestCase subclass: #ClassFactoryWithOrganizationTest 	instanceVariableNames: 'factory' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","ClassFactoryWithOrganizationTest class 	instanceVariableNames: ''"
FALSE,"Boolean subclass: #False 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Objects'","False class 	instanceVariableNames: ''"
RandomTest,"ClassTestCase subclass: #RandomTest 	instanceVariableNames: 'gen' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Numbers'","RandomTest class 	instanceVariableNames: ''"
FileLocatorTest,"TestCase subclass: #FileLocatorTest 	instanceVariableNames: 'locator' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","FileLocatorTest class 	instanceVariableNames: ''"
AGroupHasBeenCreated,"AbstractGroupAnnouncement subclass: #AGroupHasBeenCreated 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GroupManager-Announcements'","AGroupHasBeenCreated class 	instanceVariableNames: ''"
HashFunction,"Object subclass: #HashFunction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Hashing-Core'","HashFunction class 	instanceVariableNames: ''"
MCVersionDependency,"Object subclass: #MCVersionDependency 	instanceVariableNames: 'package versionInfo' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Versioning'","MCVersionDependency class 	instanceVariableNames: ''"
UndefinedObjectTest,"ClassTestCase subclass: #UndefinedObjectTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Objects'","UndefinedObjectTest class 	instanceVariableNames: ''"
RBTempsReadBeforeWrittenRule,"RBBlockLintRule subclass: #RBTempsReadBeforeWrittenRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBTempsReadBeforeWrittenRule class 	instanceVariableNames: ''"
OkToolbar,"ComposableModel subclass: #OkToolbar 	instanceVariableNames: 'okButton okAction' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Widgets-PolyWidgets'","OkToolbar class 	instanceVariableNames: ''"
FreeTypeCacheConstants,"SharedPool subclass: #FreeTypeCacheConstants 	instanceVariableNames: '' 	classVariableNames: 'FreeTypeCacheGlyph FreeTypeCacheGlyphLCD FreeTypeCacheGlyphMono FreeTypeCacheLinearWidth FreeTypeCacheWidth' 	poolDictionaries: '' 	category: 'FreeType-Cache'","FreeTypeCacheConstants class 	instanceVariableNames: ''"
NBExtraRootsRegistry,"Object subclass: #NBExtraRootsRegistry 	instanceVariableNames: 'pool array cell freeCallbackIndexes' 	classVariableNames: 'Current Seed' 	poolDictionaries: '' 	category: 'NativeBoost-Core'","NBExtraRootsRegistry class 	instanceVariableNames: ''"
RBConjunctiveCondition,"RBAbstractCondition subclass: #RBConjunctiveCondition 	instanceVariableNames: 'left right failed' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Conditions'","RBConjunctiveCondition class 	instanceVariableNames: ''"
MetacelloMCVersionSpecLoader,"Object subclass: #MetacelloMCVersionSpecLoader 	instanceVariableNames: 'versionSpec required packages loader loaderPolicy' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Loaders'","MetacelloMCVersionSpecLoader class 	instanceVariableNames: ''"
STEditor,"ComposableModel subclass: #STEditor 	instanceVariableNames: 'object ok text' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Tools-Editor'","STEditor class 	instanceVariableNames: ''"
