Class Name,Instance Side Definition,Class Side Definition
JobStart,"Announcement subclass: #JobStart 	instanceVariableNames: 'job' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Job'","JobStart class 	instanceVariableNames: ''"
ProportionalLayout,"LayoutPolicy subclass: #ProportionalLayout 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Layouts'","ProportionalLayout class 	instanceVariableNames: ''"
MetacelloVersionMethodSection,"MetacelloMethodSection subclass: #MetacelloVersionMethodSection 	instanceVariableNames: 'block versionSpec parent methodSections' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Constructors'","MetacelloVersionMethodSection class 	instanceVariableNames: ''"
BalloonLineSimulation,"Object subclass: #BalloonLineSimulation 	instanceVariableNames: 'start end xIncrement xDirection error errorAdjUp errorAdjDown' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Balloon-Simulation'","BalloonLineSimulation class 	instanceVariableNames: ''"
ColorMappingCanvas,"Canvas subclass: #ColorMappingCanvas 	instanceVariableNames: 'myCanvas' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","ColorMappingCanvas class 	instanceVariableNames: ''"
RBDetectContainsRule,"RBParseTreeLintRule subclass: #RBDetectContainsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBDetectContainsRule class 	instanceVariableNames: ''"
NewArrayNode,"ParseNode subclass: #NewArrayNode 	instanceVariableNames: 'numElements' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-ParseNodes'","NewArrayNode class 	instanceVariableNames: ''"
GrowlMorph,"TextMorph subclass: #GrowlMorph 	instanceVariableNames: 'dismissHandle vanishTime alpha actionBlock vanishDelay attr labelAttr contentsAttr' 	classVariableNames: 'DefaultBackgroundColor Position' 	poolDictionaries: '' 	category: 'Growl'","GrowlMorph class 	instanceVariableNames: ''"
MCWorkingCopyCreated,"Announcement subclass: #MCWorkingCopyCreated 	instanceVariableNames: 'package workingCopy' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Announcements'","MCWorkingCopyCreated class 	instanceVariableNames: ''"
UndeclaredVariableWarning,"Warning subclass: #UndeclaredVariableWarning 	instanceVariableNames: 'name selector class' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-Support'","UndeclaredVariableWarning class 	instanceVariableNames: ''"
