Class Name,Instance Side Definition,Class Side Definition
RBMetaclass,"RBAbstractClass subclass: #RBMetaclass 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Model'","RBMetaclass class 	instanceVariableNames: ''"
RBUnpackagedCodeRule,"RBBlockLintRule subclass: #RBUnpackagedCodeRule 	instanceVariableNames: 'packages package' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBUnpackagedCodeRule class 	instanceVariableNames: ''"
ORClassDefinition,"OBClassDefinition subclass: #ORClassDefinition 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Definitions-Replacement'","ORClassDefinition class 	instanceVariableNames: ''"
LazyListMorph,"Morph subclass: #LazyListMorph 	instanceVariableNames: 'listItems font selectedRow selectedRows listSource maxWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","LazyListMorph class 	instanceVariableNames: ''"
WeakMessageSend,"Object weakSubclass: #WeakMessageSend 	instanceVariableNames: 'selector shouldBeNil arguments' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Objects'","WeakMessageSend class 	instanceVariableNames: ''"
FT2Face,"FT2Handle subclass: #FT2Face 	instanceVariableNames: 'numFaces faceIndex faceFlags styleFlags numGlyphs familyName styleName numFixedSizes availableSizes numCharmaps charmaps bbox unitsPerEm ascender descender height maxAdvanceWidth maxAdvanceHeight underlinePosition underlineThickness glyph encoding platformId encodingId size' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FreeType-Base'","FT2Face class 	instanceVariableNames: ''"
IncrementalSliderMorph,"MorphicModel subclass: #IncrementalSliderMorph 	instanceVariableNames: 'sliderMorph getValueSelector setValueSelector getEnabledSelector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","IncrementalSliderMorph class 	instanceVariableNames: ''"
MCMockClassE,"Object variableSubclass: #MCMockClassE 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Mocks'","MCMockClassE class 	instanceVariableNames: ''"
RGSliceTest,"TestCase subclass: #RGSliceTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Tests-Containers'","RGSliceTest class 	instanceVariableNames: ''"
MetacelloPreLoadDirective,"MetacelloPrePostLoadDirective subclass: #MetacelloPreLoadDirective 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Directives'","MetacelloPreLoadDirective class 	instanceVariableNames: ''"
OBColumnPanel,"OBPanel subclass: #OBColumnPanel 	instanceVariableNames: 'root current columns minPanes maxPanes' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OmniBrowser-Panels'","OBColumnPanel class 	instanceVariableNames: ''"
