Class Name,Instance Side Definition,Class Side Definition
AColorSelectorMorph,"BracketSliderMorph subclass: #AColorSelectorMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-ColorPicker'","AColorSelectorMorph class 	instanceVariableNames: ''"
AGroupContentHasBeenModified,"AbstractGroupAnnouncement subclass: #AGroupContentHasBeenModified 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupContentHasBeenModified class 	instanceVariableNames: ''"
AGroupHasBeenAdded,"AbstractGroupAnnouncement subclass: #AGroupHasBeenAdded 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupHasBeenAdded class 	instanceVariableNames: ''"
AGroupHasBeenCreated,"AbstractGroupAnnouncement subclass: #AGroupHasBeenCreated 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupHasBeenCreated class 	instanceVariableNames: ''"
AGroupHasBeenRegistered,"AbstractGroupAnnouncement subclass: #AGroupHasBeenRegistered 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupHasBeenRegistered class 	instanceVariableNames: ''"
AGroupHasBeenRemoved,"AbstractGroupAnnouncement subclass: #AGroupHasBeenRemoved 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupHasBeenRemoved class 	instanceVariableNames: ''"
AGroupHasBeenRenamed,"AbstractGroupAnnouncement subclass: #AGroupHasBeenRenamed 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupHasBeenRenamed class 	instanceVariableNames: ''"
AGroupHasBeenUnregistered,"AbstractGroupAnnouncement subclass: #AGroupHasBeenUnregistered 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-GroupManager-Announcements'","AGroupHasBeenUnregistered class 	instanceVariableNames: ''"
ASTCache,"WeakIdentityKeyDictionary subclass: #ASTCache 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Parser'","ASTCache class 	instanceVariableNames: 'default'"
ASTCacheReset,"Announcement subclass: #ASTCacheReset 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Parser'","ASTCacheReset class 	instanceVariableNames: ''"
ASTCacheResetTest,"TestCase subclass: #ASTCacheResetTest 	instanceVariableNames: 'cache counter link node' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Tests'","ASTCacheResetTest class 	instanceVariableNames: ''"
ASTPluginMeaningOfLife,"OCCompilerASTPlugin subclass: #ASTPluginMeaningOfLife 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-Plugins'","ASTPluginMeaningOfLife class 	instanceVariableNames: ''"
ASTTransformExamplePluginActive,"Object subclass: #ASTTransformExamplePluginActive 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-Plugins'","ASTTransformExamplePluginActive class 	instanceVariableNames: ''"
ASTTransformationPluginTest,"TestCase subclass: #ASTTransformationPluginTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-Plugins'","ASTTransformationPluginTest class 	instanceVariableNames: ''"
Abort,"Exception subclass: #Abort 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","Abort class 	instanceVariableNames: ''"
AboutDialogWindow,"LongMessageDialogWindow subclass: #AboutDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","AboutDialogWindow class 	instanceVariableNames: ''"
AbsolutePath,"Path variableSubclass: #AbsolutePath 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","AbsolutePath class 	instanceVariableNames: ''"
AbsolutePathStoredSetting,"StoredSetting subclass: #AbsolutePathStoredSetting 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Settings-Persistence-Ston-StoredSettings'","AbsolutePathStoredSetting class 	instanceVariableNames: ''"
AbstractAcceptor,"Object subclass: #AbstractAcceptor 	instanceVariableNames: 'model' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Nautilus-Acceptors'","AbstractAcceptor class 	instanceVariableNames: ''"
AbstractAdapter,"Model subclass: #AbstractAdapter 	instanceVariableNames: 'model widget selector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core'","AbstractAdapter class 	instanceVariableNames: ''"
AbstractBinaryFileStream,"Stream subclass: #AbstractBinaryFileStream 	instanceVariableNames: 'file handle forWrite' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Files-Streams'","AbstractBinaryFileStream class 	instanceVariableNames: ''"
AbstractCache,"Object subclass: #AbstractCache 	instanceVariableNames: 'factory statistics weight access' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Caching'","AbstractCache class 	instanceVariableNames: ''"
AbstractClassInstaller,"Object subclass: #AbstractClassInstaller 	instanceVariableNames: 'builder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-ClassBuilder'","AbstractClassInstaller class 	instanceVariableNames: ''"
AbstractClassModification,"Object subclass: #AbstractClassModification 	instanceVariableNames: 'target layout propagations newClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Slot-ClassBuilder'","AbstractClassModification class 	instanceVariableNames: ''"
AbstractCompiler,"Object subclass: #AbstractCompiler 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Core-FrontEnd'","AbstractCompiler class 	instanceVariableNames: ''"
AbstractEnumerationVisitor,"FileSystemVisitor subclass: #AbstractEnumerationVisitor 	instanceVariableNames: 'out block' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Implementation'","AbstractEnumerationVisitor class 	instanceVariableNames: ''"
AbstractEnumerationVisitorTest,"SingleTreeTest subclass: #AbstractEnumerationVisitorTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","AbstractEnumerationVisitorTest class 	instanceVariableNames: ''"
